causa,nivel,justificacion_medica,cie10,confianza,frecuencia,pct_cobertura,origen
ANEMIA HEMOLÍTICA AUTOINMUNE INDUCIDA POR DROGAS,3,Trastorno hematológico grave que requiere hospitalización e inmunosupresión,D59.0,alta,49.0,0.001,sample_1000
OTRAS INFLAMACIONES ESPECIFICADAS DEL PÁRPADO,1,Inflamación palpebral que se maneja ambulatoriamente con tratamiento tópico,H01.8,alta,49.0,0.001,sample_1000
ARTRITIS EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE,2,Artritis séptica o reactiva que puede requerir hospitalización y antibióticos IV,M01,alta,49.0,0.001,sample_1000
ERITEMA MULTIFORME NO FLICTENULAR,1,Dermatosis que se maneja ambulatoriamente con antihistamínicos y medidas de soporte,L51.0,alta,49.0,0.001,sample_1000
TRAUMATISMO SUPERFICIAL DEL OÍDO,1,Lesión menor del oído que se maneja ambulatoriamente con curación local,S00.4,alta,48.0,0.001,sample_1000
ESTENOSIS CONGÉNITA DE LA VÁLVULA PULMONAR,2,Cardiopatía congénita que requiere cirugía cardíaca o valvuloplastía,Q22.1,alta,48.0,0.001,sample_1000
TUMOR BENIGNO DEL COLON TRANSVERSO,2,Lesión tumoral que requiere resección quirúrgica programada con hospitalización,D12.3,alta,48.0,0.001,sample_1000
TRAUMATISMO POR APLASTAMIENTO DE ÓRGANOS GENITALES EXTERNOS,2,Trauma urológico que requiere hospitalización y evaluación quirúrgica,S38.0,alta,47.0,0.001,sample_1000
LARINGOTRAQUEÍTIS CRÓNICA,1,Inflamación crónica de vía aérea superior manejable ambulatoriamente con otorrinolaringología,J37.1,alta,47.0,0.001,sample_1000
HALLAZGOS ANORMALES EN DIAGNÓSTICO POR IMAGEN DEL CORAZÓN Y DE LA CIRCULACIÓN CORONARIA,2,Hallazgo que requiere valoración cardiológica especializada y posible cateterismo o procedimientos,R93.1,media,47.0,0.001,sample_1000
"ABORTO NO ESPECIFICADO COMPLETO O NO ESPECIFICADO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDÍA",3,Aborto complicado que requiere hospitalización urgente ginecológica con posible legrado,O06.1,alta,47.0,0.001,sample_1000
"DERMATOPOLIMIOSITIS, NO ESPECIFICADA",2,Enfermedad autoinmune que requiere hospitalización para diagnóstico y tratamiento inmunosupresor,M33.9,alta,46.0,0.001,sample_1000
TUMOR BENIGNO DEL PÁNCREAS ENDOCRINO,2,Tumor neuroendocrino que requiere resección quirúrgica programada con hospitalización,D13.7,alta,46.0,0.001,sample_1000
TÓRAX EN QUILLA,2,Deformidad torácica que puede requerir cirugía correctiva programada,Q67.7,alta,45.0,0.001,sample_1000
OTROS TRASTORNOS FUNCIONALES DEL PÁRPADO,1,Disfunción palpebral que se valora y maneja ambulatoriamente,H02.5,media,45.0,0.001,sample_1000
TUMOR MALIGNO DE OTROS TEJIDOS CONJUNTIVOS Y DE TEJIDOS BLANDOS,3,"Sarcoma que requiere tratamiento oncológico especializado con cirugía, radioterapia y quimioterapia",C49,alta,45.0,0.001,sample_1000
TUMOR MALIGNO DE LA PLEURA,3,Mesotelioma o neoplasia pleural que requiere tratamiento oncológico especializado,C38.4,alta,45.0,0.001,sample_1000
OTRAS MALFORMACIONES CONGENITAS DEL CORAZON,3,Cardiopatía congénita que puede requerir cirugía cardíaca pediátrica,Q24,alta,44.0,0.0009,sample_1000
TUMOR BENIGNO DE LA AMÍGDALA,2,Masa que requiere biopsia y posible amigdalectomía programada,D10.4,alta,44.0,0.0009,sample_1000
ESGUINCES Y TORCEDURAS DE ARTICULACIONES Y LIGAMENTOS DE OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA CABEZA,1,Trauma menor manejable ambulatoriamente con analgesia e inmovilización,S03,media,44.0,0.0009,sample_1000
LESIÓN DE SITIOS CONTIGUOS DEL ENCÉFALO Y OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL,3,Trauma craneoencefálico grave que requiere UCI neurológica,C72,alta,44.0,0.0009,sample_1000
RETENCIÓN INTRAOCULAR DE CUERPO EXTRAÑO NO MAGNÉTICO (ANTIGUO),2,Condición oftalmológica que requiere cirugía programada para extracción,H44.7,alta,44.0,0.0009,sample_1000
LIQUEN SIMPLE CRÓNICO,1,Dermatosis crónica manejable ambulatoriamente con corticoides tópicos,L28.0,alta,44.0,0.0009,sample_1000
NEUMONITIS DEBIDAS A HIPERSENSIBILIDAD A OTROS POLVOS ORGÁNICOS,2,Neumonitis por hipersensibilidad que requiere hospitalización para oxigenoterapia y corticosteroides,J67.8,alta,43.0,0.0009,sample_1000
OCULOPATÍA HERPÉTICA,2,Infección ocular que requiere manejo oftalmológico especializado y posible hospitalización,B00.5,alta,43.0,0.0009,sample_1000
OTROS PRURIGOS,1,Dermatosis crónica manejable ambulatoriamente con antihistamínicos,L28,alta,43.0,0.0009,sample_1000
"FISURA DEL PALADAR CON LABIO LEPORINO UNILATERAL, SIN OTRA ESPECIFICACIÓN",3,Malformación congénita que requiere cirugía plástica reconstructiva especializada,Q37,alta,43.0,0.0009,sample_1000
COMPLICACIÓN MECÁNICA DE DERIVACIÓN (ANASTOMÓTICA) VENTRICULAR INTRACRANEAL,3,Falla de dispositivo neurológico que requiere neurocirugía urgente,T85.0,alta,43.0,0.0009,sample_1000
FISURA DEL PALADAR DURO Y DEL PALADAR BLANDO,3,Malformación congénita que requiere cirugía plástica reconstructiva especializada,Q35.5,alta,43.0,0.0009,sample_1000
"INFECCIÓN GENITAL Y PELVIANA CONSECUTIVA AL ABORTO, AL EMBARAZO ECTÓPICO Y AL EMBARAZO MOLAR",3,"Complicación obstétrica grave que requiere hospitalización, antibióticos IV y posible cirugía",O08.0,alta,43.0,0.0009,sample_1000
LESIÓN DE SITIOS CONTIGUOS DE LA LARINGE,3,Tumor laríngeo que requiere cirugía oncológica y tratamiento multimodal,C32.8,alta,43.0,0.0009,sample_1000
DEGENERACIÓN POLIPOIDE DE SENO PARANASAL,2,Poliposis nasal que puede requerir cirugía endoscópica programada,J33,alta,43.0,0.0009,sample_1000
TROMBOANGEÍTIS OBLITERANTE [BUERGER],3,"Enfermedad vascular grave que requiere manejo especializado, posible amputación",I73.1,alta,42.0,0.0009,sample_1000
SINUSITIS ESFENOIDAL AGUDA,1,Infección sinusal aguda que se maneja ambulatoriamente con antibióticos,J01.3,alta,42.0,0.0009,sample_1000
TRASTORNOS RENALES TUBULOINTERSTICIALES EN RECHAZO DE TRASPLANTE,3,Complicación post-trasplante que requiere hospitalización urgente en nefrología,N16.5,alta,42.0,0.0009,sample_1000
"ÚLCERA DUODENAL, CRÓNICA O NO ESPECIFICADA, CON HEMORRAGIA",3,"Sangrado digestivo alto que requiere hospitalización, endoscopia y hemostasia",K26.4,alta,41.0,0.0009,sample_1000
MASTITIS NO PURULENTA ASOCIADA CON EL PARTO,2,Complicación puerperal que puede requerir hospitalización para antibióticos IV,O91.2,alta,41.0,0.0009,sample_1000
TUMOR MALIGNO DE LA GLÁNDULA PINEAL,3,"Tumor cerebral que requiere neurocirugía, radioterapia y quimioterapia",C75.3,alta,40.0,0.0008,sample_1000
"HERNIA FEMORAL UNILATERAL O NO ESPECIFICADA, CON OBSTRUCCIÓN, SIN GANGRENA",3,Hernia complicada que requiere cirugía urgente,K41.3,alta,40.0,0.0008,sample_1000
EFECTOS ADVERSOS DE VACUNAS VIRALES,1,Reacción adversa que generalmente se maneja ambulatoriamente,T50.B9,media,40.0,0.0008,sample_1000
DIVERTÍCULO DE LA URETRA,2,Malformación urológica que puede requerir cirugía programada con hospitalización,N36.1,alta,40.0,0.0008,sample_1000
"NEFROPATÍA TÓXICA, NO CLASIFICADA EN OTRA PARTE",2,Daño renal por tóxicos que requiere hospitalización para identificación de agente y diálisis si necesario,N14.4,alta,39.0,0.0008,sample_1000
TUMOR MALIGNO DE LA PARED SUPERIOR DE LA NASOFARINGE,3,"Cáncer de cabeza y cuello que requiere radioterapia, quimioterapia y cirugía",C11.0,alta,39.0,0.0008,sample_1000
SÍNDROME NEFRÍTICO NO ESPECIFICADA,3,Enfermedad glomerular que requiere hospitalización y manejo nefrológico,N05,media,39.0,0.0008,sample_1000
LESIÓN DE SITIOS CONTIGUOS DE LOS HUESOS Y DE LOS CARTÍLAGOS ARTICULARES DE LOS MIEMBROS,2,Lesión osteocartilaginosa que requiere cirugía ortopédica y hospitalización,C41.8,media,39.0,0.0008,sample_1000
"DISFUNCION NEUROMUSCULAR DE LA VEJIGA, NO CLASIFICADA EN OTRA PARTE",2,Condición urológica que puede requerir estudios urodinámicos y manejo hospitalario,N31,alta,38.0,0.0008,sample_1000
MIOCARDITIS AGUDA,3,Inflamación cardiaca aguda que requiere hospitalización en cardiología o UCI,I40.9,alta,38.0,0.0008,sample_1000
"MONONEUROPATÍA DEL MIEMBRO SUPERIOR, SIN OTRA ESPECIFICACIÓN",1,Neuropatía focal que se diagnostica y maneja ambulatoriamente,G56.9,media,38.0,0.0008,sample_1000
HIPERHIDROSIS GENERALIZADA,1,Sudoración excesiva que se maneja ambulatoriamente con tratamiento médico,R61,alta,38.0,0.0008,sample_1000
SECUELAS DE ENFERMEDAD CEREBROVASCULAR,2,Rehabilitación post-EVC que puede requerir hospitalización en neurorehabilitación,I69,alta,38.0,0.0008,sample_1000
INSUFICIENCIA MITRAL CONGÉNITA,3,Cardiopatía congénita que puede requerir cirugía cardíaca y manejo especializado,Q23.3,alta,38.0,0.0008,sample_1000
LUXACIONES MÚLTIPLES DE DEDOS DE LA MANO,2,Trauma que requiere reducción bajo sedación y hospitalización breve,S63.3,alta,38.0,0.0008,sample_1000
"TUMOR MALIGNO DE LA LARINGE, PARTE NO ESPECIFICADA",3,"Cáncer laríngeo que requiere cirugía oncológica, radioterapia y quimioterapia",C32.9,alta,38.0,0.0008,sample_1000
MIOCLONÍA,2,Trastorno neurológico que puede requerir estudios especializados y hospitalización para diagnóstico,G25.3,media,38.0,0.0008,sample_1000
"OTROS TRAUMATISMOS MÚLTIPLES DEL ABDOMEN, DE LA REGIÓN LUMBOSACRA Y DE LA PELVIS",3,"Politraumatismo que requiere manejo en urgencias, posible cirugía y hospitalización prolongada",T09.8,alta,37.0,0.0008,sample_1000
MALFORMACIÓN CONGÉNITA DE LA RODILLA,2,Anomalía congénita que puede requerir cirugía ortopédica programada,Q74.1,alta,37.0,0.0008,sample_1000
HIPOTONÍA OCULAR,1,Presión intraocular baja que se valora y maneja ambulatoriamente por oftalmología,H44.4,alta,37.0,0.0008,sample_1000
"SINDACTILIA, NO ESPECIFICADA",2,Malformación congénita que puede requerir cirugía plástica reconstructiva,Q70.9,alta,37.0,0.0008,sample_1000
"MALFORMACIÓN CONGÉNITA DEL SISTEMA OSTEOMUSCULAR, NO ESPECIFICADA",2,Anomalía congénita que puede requerir cirugía ortopédica programada,Q79.9,media,37.0,0.0008,sample_1000
SEUDOQUISTE DEL PÁNCREAS,3,Complicación pancreática que puede requerir drenaje quirúrgico o endoscópico,K86.3,alta,36.0,0.0008,sample_1000
EFECTOS ADVERSOS DE DROGAS O MEDICAMENTOS NO ESPECIFICADOS,2,Reacción adversa que puede requerir hospitalización según gravedad,T88.7,media,36.0,0.0008,sample_1000
ARTROSIS DE LA PRIMERA ARTICULACION CARPOMETACARPIANA,1,Rizartrosis manejable ambulatoriamente con antiinflamatorios y férulas,M18,alta,36.0,0.0008,sample_1000
"TRASTORNOS DE LA VESICULA BILIAR, DE LAS VIAS BILIARES Y DEL PANCREAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE",2,Complicaciones hepatobiliares que pueden requerir internamiento y manejo quirúrgico,K87,media,36.0,0.0008,sample_1000
"DEFICIENCIA DE VITAMINA D, NO ESPECIFICADA",1,Deficiencia nutricional que se diagnostica y trata ambulatoriamente con suplementación,E55.9,alta,36.0,0.0008,sample_1000
ARTICULACIÓN INESTABLE,2,Condición ortopédica que puede requerir cirugía reconstructiva de ligamentos,M25.3,alta,36.0,0.0008,sample_1000
"HIPOPLASIA RENAL, NO ESPECIFICADA",1,Malformación renal congénita que requiere seguimiento nefrológico ambulatorio,Q60.5,media,36.0,0.0008,sample_1000
"TUMEFACCIÓN, MASA O PROMINENCIA LOCALIZADA EN PARTE NO ESPECIFICADA",1,Hallazgo clínico que requiere valoración ambulatoria y estudios diagnósticos,R22.9,baja,36.0,0.0008,sample_1000
DEFORMIDADES CONGENITAS DE LA CADERA,2,Malformación congénita que requiere cirugía ortopédica programada y hospitalización,Q65,alta,36.0,0.0008,sample_1000
HERIDAS DE OTRAS PARTES DEL ANTEBRAZO,1,Trauma menor manejable con sutura ambulatoria,S51,alta,36.0,0.0008,sample_1000
"ENFERMEDAD POR VIH, RESULTANTE EN OTRAS ENFERMEDADES INFECCIOSAS O PARASITARIAS",3,Complicación infecciosa grave del VIH que requiere hospitalización en infectología,B20.8,alta,35.0,0.0007,sample_1000
AGRESION CON DISPARO DE ARMA CORTA,3,Trauma penetrante que requiere cirugía de urgencia y manejo en UCI,X93,alta,35.0,0.0007,sample_1000
BURSITIS TIBIAL COLATERAL [PELLEGRINI-STIEDA],1,Bursitis postraumática manejable ambulatoriamente con antiinflamatorios,M76.4,alta,35.0,0.0007,sample_1000
SINOVITIS TRANSITORIA,1,Condición articular autolimitada manejable ambulatoriamente con antiinflamatorios,M67.3,alta,35.0,0.0007,sample_1000
FIBROSIS Y AFECCIONES CICATRICIALES DE LA PIEL,1,"Cicatrización patológica que se maneja ambulatoriamente, posible procedimiento menor",L90.5,alta,35.0,0.0007,sample_1000
OTRAS INFECCIONES DEBIDAS A ORTOPOXVIRUS,1,Infección viral ambulatoria de piel manejable con tratamiento sintomático,B08.0,media,34.0,0.0007,sample_1000
TRASTORNOS DE LOS TENDONES Y DE LA SINOVIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,1,Manifestación musculoesquelética secundaria que se maneja ambulatoriamente,M68,media,34.0,0.0007,sample_1000
"MALABSORCIÓN DEBIDA A INTOLERANCIA, NO CLASIFICADA EN OTRA PARTE",1,Condición gastrointestinal manejable ambulatoriamente con dieta y seguimiento,K90,media,34.0,0.0007,sample_1000
INFECCIONES HERPETICA [HERPES SIMPLE],1,Infección viral ambulatoria manejable con antivirales orales,B00,alta,34.0,0.0007,sample_1000
"PASAJERO DE MOTOCICLETA LESIONADO POR COLISIÓN CON OTROS VEHÍCULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE DE TRÁNSITO",2,Traumatismo por accidente de tránsito que puede requerir hospitalización,V29.5,media,34.0,0.0007,sample_1000
"BURSOPATÍA, NO ESPECIFICADA",1,Condición ortopédica ambulatoria manejable con antiinflamatorios,M71.9,media,34.0,0.0007,sample_1000
OTRAS AFECCIONES HEMORRÁGICAS ESPECIFICADAS,3,Trastornos de coagulación que pueden requerir manejo especializado en hematología,D69,alta,34.0,0.0007,sample_1000
TUMOR MALIGNO DEL NERVIO ÓPTICO,3,Cáncer del SNC que requiere cirugía oncológica y radioterapia especializada,C72.3,alta,33.0,0.0007,sample_1000
SÍNDROME DE INTESTINO IRRITABLE CON HÁBITOS INTESTINALES MIXTOS [IBS-M],1,Trastorno funcional digestivo manejable ambulatoriamente con dieta y farmacoterapia,K58.2,alta,33.0,0.0007,sample_1000
LINFADENITIS AGUDA DEL MIEMBRO SUPERIOR,1,Infección ganglionar aguda que se maneja ambulatoriamente con antibióticos,L04.2,alta,33.0,0.0007,sample_1000
"LEUCEMIA CRÓNICA, CÉLULAS DE TIPO NO ESPECIFICADO",3,Cáncer hematológico que requiere manejo oncológico especializado con quimioterapia,C95.1,alta,33.0,0.0007,sample_1000
SÍNDROME DEL RECIÉN NACIDO DE MADRE CON DIABETES GESTACIONAL,2,Complicación neonatal que requiere monitoreo hospitalario de glucosa,P70.1,alta,33.0,0.0007,sample_1000
"MOTOCICLISTA LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS",2,Traumatismo por accidente vehicular que puede requerir hospitalización según lesiones,V29.9,media,33.0,0.0007,sample_1000
ANEMIA POSTHEMORRÁGICA AGUDA,3,"Anemia aguda por sangrado que requiere hospitalización urgente, posible transfusión",D62,alta,33.0,0.0007,sample_1000
OTRAS OPACIDADES CENTRALES DE LA CÓRNEA,1,Opacidad corneal que requiere evaluación oftalmológica ambulatoria y posible queratoplastía programada,H17.1,alta,33.0,0.0007,sample_1000
HIPERPIGMENTACIÓN POSTINFLAMATORIA,1,Alteración dermatológica benigna manejable ambulatoriamente con despigmentantes,L81.0,alta,33.0,0.0007,sample_1000
TRASTORNOS ESPECÍFICOS MIXTOS DEL DESARROLLO,1,Trastorno del neurodesarrollo que se valora y maneja ambulatoriamente con terapias,F83,alta,33.0,0.0007,sample_1000
NEVO MELANOCÍTICO DEL CUERO CABELLUDO Y DEL CUELLO,1,"Lesión dermatológica que se valora ambulatoriamente, posible escisión menor",D22.4,alta,33.0,0.0007,sample_1000
"ENFERMEDAD DE GLÁNDULA SALIVAL, NO ESPECIFICADA",1,Condición de glándulas salivales manejable ambulatoriamente,K11.9,media,32.0,0.0007,sample_1000
OCLUSION VASCULAR DE LA RETINA,3,Emergencia oftalmológica que requiere manejo urgente especializado,H34,alta,32.0,0.0007,sample_1000
GANGLIONITIS GENICULADA,2,Neuritis viral (herpes zoster) que puede requerir hospitalización para manejo del dolor,B02.2,alta,31.0,0.0007,sample_1000
ENFERMEDAD POR VIRUS CHIKUNGUNYA,1,Infección viral transmitida por mosquitos manejable ambulatoriamente con tratamiento sintomático,A92.0,alta,31.0,0.0007,sample_1000
FOLICULITIS DECALVANTE,1,Condición dermatológica ambulatoria manejable con antibióticos y antisépticos,L66.2,alta,31.0,0.0007,sample_1000
OTRAS SHIGELOSIS,1,Infección gastrointestinal ambulatoria manejable con antibióticos orales,A03,alta,30.0,0.0006,sample_1000
LESIÓN DE SITIOS CONTIGUOS DE LA VEJIGA,3,Lesión maligna vesical que requiere cirugía urológica oncológica compleja,C67.8,alta,30.0,0.0006,sample_1000
OTRAS OSTEOCONDRODISPLASIAS ESPECIFICADAS,2,Displasia ósea que puede requerir manejo ortopédico especializado,Q78,media,30.0,0.0006,sample_1000
CUERPO EXTRAÑO EN OTRAS Y EN MÚLTIPLES PARTES DE LAS VÍAS RESPIRATORIAS,3,Aspiración de cuerpo extraño que requiere broncoscopia urgente y hospitalización,T17.8,alta,30.0,0.0006,sample_1000
OTRAS HIPERTENSIONES PULMONARES SECUNDARIAS,3,Hipertensión pulmonar que requiere cateterismo cardíaco y manejo especializado,I27.2,alta,30.0,0.0006,sample_1000
PARÁLISIS DEL NERVIO PATÉTICO [IV PAR],2,Parálisis de nervio craneal que requiere estudios neurológicos y oftalmológicos,H49.1,alta,30.0,0.0006,sample_1000
DESPRENDIMIENTO PREMATURO DE LA PLACENTA CON DEFECTO DE LA COAGULACIÓN,3,"Emergencia obstétrica que requiere cesárea urgente, transfusión y manejo en UCI",O45.0,alta,29.0,0.0006,sample_1000
FRACTURAS QUE AFECTAN EL TÓRAX CON LA REGIÓN LUMBOSACRA Y LA PELVIS CON MIEMBRO(S),3,"Fracturas múltiples que requieren manejo traumatológico complejo, posible cirugía y hospitalización prolongada",T02.8,alta,29.0,0.0006,sample_1000
ARTRITIS EN OTRAS ENFERMEDADES VIRALES CLASIFICADAS EN OTRA PARTE,1,Artritis reactiva viral manejable ambulatoriamente con antiinflamatorios,M01,alta,29.0,0.0006,sample_1000
"TRASTORNO NO INFLAMATORIO DE LA VAGINA, NO ESPECIFICADO",1,Condición ginecológica ambulatoria manejable con tratamiento tópico,N89.9,media,29.0,0.0006,sample_1000
"DERMATITIS DE CONTACTO, FORMA Y CAUSA NO ESPECIFICADAS",1,Dermatitis que se maneja ambulatoriamente con medidas tópicas,L25.9,alta,29.0,0.0006,sample_1000
"AUSENCIA, ATRESIA Y ESTENOSIS CONGÉNITA DE OTRAS PARTES ESPECIFICADAS DEL INTESTINO DELGADO",3,Malformación congénita que requiere cirugía especializada pediátrica,Q41,alta,29.0,0.0006,sample_1000
"SECRECIÓN HORMONAL ECTÓPICA, NO CLASIFICADA EN OTRA PARTE",3,Síndrome paraneoplásico que requiere manejo oncológico y endocrinológico,E34.2,alta,29.0,0.0006,sample_1000
TUMOR BENIGNO DE LAS GLANDULAS SALIVALES MAYORES,2,Tumor que requiere resección quirúrgica programada con hospitalización,D11,alta,29.0,0.0006,sample_1000
"AUSENCIA, ATRESIA Y ESTENOSIS CONGÉNITA DEL INTESTINO DELGADO, PARTE NO ESPECIFICADA",3,Malformación congénita intestinal que requiere cirugía neonatal urgente y manejo en UCIN,Q41.9,alta,29.0,0.0006,sample_1000
NEVO MELANOCITICO,1,Lesión pigmentada que requiere evaluación dermatológica ambulatoria,D22,alta,28.0,0.0006,sample_1000
ATENCIÓN Y EXAMEN INMEDIATAMENTE DESPUÉS DEL PARTO,1,Revisión puerperal de rutina que se realiza en consulta ambulatoria,Z39.0,alta,28.0,0.0006,sample_1000
BRONQUITIS CRÓNICA MIXTA SIMPLE Y MUCOPURULENTA,1,Enfermedad respiratoria crónica manejable ambulatoriamente con broncodilatadores,J41.8,alta,28.0,0.0006,sample_1000
USO EMERGENTE DE U07.9,1,Código temporal utilizado para clasificación inicial de casos,U07.9,baja,28.0,0.0006,sample_1000
OTRAS GOTAS SECUNDARIAS,1,Artropatía por cristales que se maneja ambulatoriamente con antiinflamatorios,M10.4,alta,27.0,0.0006,sample_1000
"HIPOXIA INTRAUTERINA, NO ESPECIFICADA",3,Compromiso fetal grave que requiere monitoreo en UCI neonatal,P20.9,alta,27.0,0.0006,sample_1000
DOLOR EN EL PECHO AL RESPIRAR,1,"Síntoma que requiere valoración ambulatoria, puede ser musculoesquelético o respiratorio leve",R07.1,media,27.0,0.0006,sample_1000
TRAUMATISMO DEL NERVIO DIGITAL DE OTRO DEDO,1,Lesión nerviosa menor manejable ambulatoriamente con analgesia,S64,alta,27.0,0.0006,sample_1000
"COXARTROSIS A CONSECUENCIA DE DISPLASIA, BILATERAL",2,Artrosis avanzada que puede requerir artroplastia bilateral programada,M16.3,alta,27.0,0.0006,sample_1000
QUERATOPATÍA VESICULAR,2,Condición corneal que requiere manejo oftalmológico especializado,H18.8,media,27.0,0.0006,sample_1000
OTRAS COMPLICACIONES ESPECÍFICAS DEL EMBARAZO MÚLTIPLE,2,Complicación obstétrica que requiere hospitalización y vigilancia materna-fetal,O31,media,27.0,0.0006,sample_1000
"TUMOR MALIGNO SECUNDARIO, SITIO NO ESPECIFICADO",3,Metástasis que requiere tratamiento oncológico especializado y cuidados paliativos,C79.9,alta,26.0,0.0006,sample_1000
INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,1,Infección gastrointestinal bacteriana generalmente manejable ambulatoriamente con hidratación,A04.2,alta,26.0,0.0006,sample_1000
ATAXIA CONGÉNITA NO PROGRESIVA,1,Trastorno neurológico congénito que requiere seguimiento neurológico ambulatorio y rehabilitación,G11.0,alta,26.0,0.0006,sample_1000
CUERPO EXTRAÑO EN LAS VIAS RESPIRATORIAS,3,Emergencia respiratoria que requiere broncoscopia urgente y posible UCI,T17,alta,26.0,0.0006,sample_1000
TUMOR MALIGNO DEL SENO ESFENOIDAL,3,Cáncer de seno paranasal que requiere cirugía oncológica y radioterapia especializada,C31.3,alta,25.0,0.0005,sample_1000
OSTEOFITO,1,Hallazgo radiológico de crecimiento óseo que se maneja conservadoramente de forma ambulatoria,M25.7,alta,25.0,0.0005,sample_1000
ADHERENCIAS PERITONEALES PÉLVICAS CONSECUTIVAS A PROCEDIMIENTOS,2,Complicación post-quirúrgica que puede requerir cirugía programada de liberación,N99.4,alta,25.0,0.0005,sample_1000
LESIÓN DE SITIOS CONTIGUOS DEL HUESO Y DEL CARTÍLAGO ARTICULAR,3,Lesión maligna osteoarticular que requiere cirugía oncológica ortopédica,C41.8,alta,25.0,0.0005,sample_1000
ASISTENCIA Y AJUSTE DE DISPOSITIVOS CARDÍACOS,1,Seguimiento ambulatorio de marcapasos o desfibrilador,Z45.0,alta,25.0,0.0005,sample_1000
CICLISTA [CUALQUIERA] LESIONADO EN ACCIDENTE DE TRÁNSITO NO ESPECIFICADO,2,Trauma que generalmente requiere valoración hospitalaria según severidad,V19,media,25.0,0.0005,sample_1000
"CAÍDA EN O DESDE ANDAMIO, VIVIENDA",2,Traumatismo por caída que puede requerir hospitalización según gravedad de lesiones,W12.0,media,25.0,0.0005,sample_1000
"AHOGAMIENTO Y SUMERSIÓN MIENTRAS SE ESTÁ EN UNA PISCINA, VIVIENDA",3,Emergencia por inmersión que requiere UCI y manejo de complicaciones respiratorias,W67,alta,25.0,0.0005,sample_1000
HELICOBACTER PYLORI [H.PYLORI] COMO LA CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS,1,Infección bacteriana que se diagnostica y trata ambulatoriamente con antibióticos y estudios de gabinete,B98.0,alta,25.0,0.0005,sample_1000
RESULTADOS ANORMALES EN ESTUDIOS FUNCIONALES CARDIOVASCULARES,1,Hallazgo paraclínico que requiere seguimiento cardiológico ambulatorio,R94.3,media,24.0,0.0005,sample_1000
HERIDAS DE OTRAS PARTES DEL CUELLO,2,Trauma cervical que requiere evaluación hospitalaria por riesgo de lesión grave,S11,alta,24.0,0.0005,sample_1000
ABSCESO PERIAPICAL SIN FÍSTULA,1,Condición dental manejable ambulatoriamente con antibióticos y drenaje,K04.7,alta,24.0,0.0005,sample_1000
OTRAS MENINGITIS VIRALES,3,"Infección del SNC que requiere hospitalización, punción lumbar y vigilancia neurológica",A87,alta,24.0,0.0005,sample_1000
"APORREO, GOLPE, MORDEDURA, PATADA, RASGUÑO O TORCEDURA INFLIGIDOS POR OTRA PERSONA, VIVIENDA",1,Trauma menor manejable ambulatoriamente con curación y analgesia,Y04,media,24.0,0.0005,sample_1000
OTRAS MALFORMACIONES CONGÉNITAS DEL APARATO LAGRIMAL,2,Malformación que puede requerir cirugía oftalmológica programada,Q10.6,media,24.0,0.0005,sample_1000
OTRAS ENFERMEDADES NEONATALES INFECCIOSAS O PARASITARIAS ESPECIFICADAS,2,Infección neonatal que requiere hospitalización en cunero patológico o UCIN,P39.8,alta,24.0,0.0005,sample_1000
"AMPUTACIÓN TRAUMÁTICA DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",3,Amputación traumática que requiere cirugía urgente de urgencia traumatológica,S48.9,alta,24.0,0.0005,sample_1000
"QUEMADURA Y CORROSION, REGION DEL CUERPO NO ESPECIFICADA",2,Quemadura que puede requerir hospitalización según extensión y grado,T30,media,24.0,0.0005,sample_1000
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL OIDO MEDIO Y DE LOS ORGANOS RESPIRATORIOS E INTRATORACICOS,3,Masa que requiere estudio histopatológico y evaluación oncológica especializada,D38,alta,24.0,0.0005,sample_1000
"HERIDA DE CUELLO, PARTE NO ESPECIFICADA",2,Trauma cervical que requiere evaluación hospitalaria por riesgo de lesión vascular o aérea,S11,alta,24.0,0.0005,sample_1000
"AMENORREA, SIN OTRA ESPECIFICACIÓN",1,Trastorno menstrual manejable ambulatoriamente con estudios hormonales,N91.2,alta,23.0,0.0005,sample_1000
"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA",3,Forma grave de tuberculosis que requiere hospitalización en aislamiento y tratamiento agresivo,A19.9,alta,23.0,0.0005,sample_1000
"DISFUNCIÓN OVÁRICA, NO ESPECIFICADA",1,Trastorno ginecológico manejable ambulatoriamente con estudios hormonales,E28.9,alta,23.0,0.0005,sample_1000
OTRAS MALFORMACIONES CONGÉNITAS DE LA VÁLVULA PULMONAR,3,Cardiopatía congénita que puede requerir cirugía cardíaca pediátrica,Q22.3,alta,23.0,0.0005,sample_1000
