causa_original,causa_corregida,tipo_correccion,similitud,frecuencia,anios,num_anios
PERFORACION DE LA VESICULA BILIAR,PERFORACIÓN DE LA VESÍCULA BILIAR,acento,0.99,7,2020,1
TRASTORNOS RELACIONADOS CON DURACION CORTA DE LA G,"TRASTORNOS RELACIONADOS CON DURACION CORTA DE LA GESTACION Y CON BAJO PESO AL NACER, NO CLASIFICADOS EN OTRA PARTE",truncado,0.4386,7,2020,1
"TUMOR MALIGNO DE LOS DOS TERCIOS ANTERIORES DE LA LENGUA, PARTE NO ESPECIFICADA","TUMOR MALIGNO DE LOS DOS TERCIOS ANTERIORES DE LA LENGUA, PARTE NO ESPECIFICADA",sin_cambio,1.0,7,"2020,2021,2023,2024",4
"PENFIGO, NO ESPECIFICADO","PÉNFIGO, NO ESPECIFICADO",acento,0.99,7,2020,1
NEUMOTÓRAX ORIGINADO EN EL PERÍODO PERINATAL,NEUMOTÓRAX ORIGINADO EN EL PERÍODO PERINATAL,sin_cambio,1.0,7,"2022,2023,2024",3
CARCINOMA IN SITU DE OTROS SITIOS DE ORGANOS GENITALES FEMENINOS Y DE LOS NO ESPECIFICADOS,CARCINOMA IN SITU DE OTROS SITIOS DE ÓRGANOS GENITALES FEMENINOS Y DE LOS NO ESPECIFICADOS,acento,0.99,7,2020,1
OTRAS ANORMALIDADES DEL LATIDO CARDIACO Y LAS NO ESPECIFICADAS,OTRAS ANORMALIDADES DEL LATIDO CARDÍACO Y LAS NO ESPECIFICADAS,acento,0.99,7,2020,1
FISURA DEL PALADAR BLANDO,FISURA DEL PALADAR BLANDO,sin_cambio,1.0,7,"2021,2022,2023",3
"FIEBRE VIRAL TRANSMITIDA POR MOSQUITO, SIN OTRA ESPECIFICACIÓN","FIEBRE VIRAL TRANSMITIDA POR MOSQUITO, SIN OTRA ESPECIFICACIÓN",sin_cambio,1.0,7,"2022,2023",2
"TRAUMATISMOS SUPERFICIALES MULTIPLES DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS","TRAUMATISMOS SUPERFICIALES MÚLTIPLES DEL ABDOMEN, DE LA REGIÓN LUMBOSACRA Y DE LA PELVIS",acento,0.99,7,2020,1
OTRAS INMUNODEFICIENCIAS,OTRAS INMUNODEFICIENCIAS,sin_cambio,1.0,7,"2021,2024",2
OTRAS ARTROPATIAS REACTIVAS,OTRAS ARTROPATÍAS REACTIVAS,acento,0.99,7,2020,1
"ANEMIAS HEMOLITICA ADQUIRIDA, SIN OTRA ESPECIFICACION","ANEMIAS HEMOLITICA ADQUIRIDA, SIN OTRA ESPECIFICACION",sin_cambio,1.0,7,2020,1
ANEURISMA CARDIACO,ANEURISMA CARDÍACO,acento,0.99,7,2020,1
HERIDAS MULTIPLES DEL ANTEBRAZO,HERIDAS MÚLTIPLES DEL ANTEBRAZO,acento,0.99,7,2020,1
DEFECTO POR REDUCCION LONGITUDINAL DEL FEMUR,DEFECTO POR REDUCCIÓN LONGITUDINAL DEL FÉMUR,acento,0.99,7,2020,1
OTRAS MALFORMACIONES CONGENITAS DE LAS CAMARAS CARDIACAS Y SUS CONEXIONES,OTRAS MALFORMACIONES CONGÉNITAS DE LAS CÁMARAS CARDÍACAS Y SUS CONEXIONES,acento,0.99,7,2020,1
"OBSTRUCCIÓN NO ESPECIFICADA DE LA RESPIRACIÓN, VIVIENDA","OBSTRUCCIÓN NO ESPECIFICADA DE LA RESPIRACIÓN, VIVIENDA",sin_cambio,1.0,7,"2021,2022,2023",3
DEGENERACION POLIPOIDE DE SENO PARANASAL,DEGENERACIÓN POLIPOIDE DE SENO PARANASAL,acento,0.99,7,2020,1
DEFORMIDAD ADQUIRIDA DE COSTILLAS Y TORAX,DEFORMIDAD ADQUIRIDA DE COSTILLAS Y TÓRAX,acento,0.99,7,2020,1
OTRAS MALFORMACIONES CONGENITAS DE LA LARINGE,OTRAS MALFORMACIONES CONGÉNITAS DE LA LARINGE,acento,0.99,7,2020,1
MIASTENIA GRAVE NEONATAL TRANSITORIA,MIASTENIA GRAVE NEONATAL TRANSITORIA,sin_cambio,1.0,7,"2020,2021,2022,2024",4
"OCUPANTE DE AUTOMÓVIL LESIONADO POR COLISIÓN CON VEHÍCULO DE PEDAL, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRÁNSITO","OCUPANTE DE AUTOMÓVIL LESIONADO POR COLISIÓN CON VEHÍCULO DE PEDAL, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRÁNSITO",sin_cambio,1.0,7,"2022,2023,2024",3
OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA URINARIO,OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA URINARIO,sin_cambio,1.0,7,"2021,2022,2024",3
TRASTORNOS DEL METABOLISMO DEL FÓSFORO Y FOSFATASA,TRASTORNOS DEL METABOLISMO DEL FÓSFORO Y FOSFATASA,sin_cambio,1.0,7,"2022,2023,2024",3
TUMOR MALIGNO DE LA PARED LATERAL DE LA OROFARINGE,TUMOR MALIGNO DE LA PARED LATERAL DE LA OROFARINGE,sin_cambio,1.0,7,"2022,2023",2
"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LOS NO ESPECIFICADOS","ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LOS NO ESPECIFICADOS",sin_cambio,1.0,7,"2022,2023,2024",3
"PEATON LESIONADO EN ACCIDENTE NO DE TRANSITO QUE INVOLUCRA OTROS VEHICULOS DE MOTOR, Y LOS NO ESPECIFICADOS","PEATÓN LESIONADO EN ACCIDENTE NO DE TRÁNSITO QUE INVOLUCRA OTROS VEHÍCULOS DE MOTOR, Y LOS NO ESPECIFICADOS",acento,0.99,7,2020,1
"TRASTORNO DEL IRIS Y DEL CUERPO CILIAR, NO ESPECIFICADO","TRASTORNO DEL IRIS Y DEL CUERPO CILIAR, NO ESPECIFICADO",sin_cambio,1.0,7,"2021,2022,2023,2024",4
OSTEOCONDROSIS JUVENIL DE LA MANO,OSTEOCONDROSIS JUVENIL DE LA MANO,sin_cambio,1.0,7,"2020,2021,2024",3
SARCOIDOSIS DEL PULMON,SARCOIDOSIS DEL PULMÓN,acento,0.99,7,2020,1
"RIÐON POLIQUISTICO, AUTOSOMICO RECESIVO","RIÐON POLIQUISTICO, AUTOSOMICO RECESIVO",sin_cambio,1.0,7,2020,1
"OTROS TRASTORNOS DEL RIÑON Y DEL URETER, NO CLASIF","OTROS TRASTORNOS DEL RIÑON Y DEL URETER, NO CLASIFICADOS EN OTRA PARTE",truncado,0.7143,7,2020,1
"PROTEINURIA AISLADA CON LESIÓN MORFOLÓGICA ESPECIFICADA, ENFERMEDAD POR DEPÓSITOS DENSOS","PROTEINURIA AISLADA CON LESIÓN MORFOLÓGICA ESPECIFICADA, ENFERMEDAD POR DEPÓSITOS DENSOS",sin_cambio,1.0,7,"2021,2022,2023",3
ESTADO DE MAL EPILÉPTICO DE TIPO NO ESPECIFICADO,ESTADO DE MAL EPILÉPTICO DE TIPO NO ESPECIFICADO,sin_cambio,1.0,7,"2022,2023,2024",3
"MONONEUROPATIA DEL MIEMBRO INFERIOR, SIN OTRA ESPECIFICACION","MONONEUROPATÍA DEL MIEMBRO INFERIOR, SIN OTRA ESPECIFICACIÓN",acento,0.99,7,2020,1
CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS VENENOSOS NO ESPECIFICADOS: INSTITUC,"CONTACTO TRAUMÁTICO CON ANIMALES Y PLANTAS VENENOSOS NO ESPECIFICADOS, VIVIENDA",typo,0.9114,7,2020,1
"MONONEUROPATIA, NO ESPECIFICADA","MONONEUROPATÍA, NO ESPECIFICADA",acento,0.99,7,2020,1
SÍNDROME DE TRANSFUSIÓN PLACENTARIA,SÍNDROME DE TRANSFUSIÓN PLACENTARIA,sin_cambio,1.0,7,"2022,2023,2024",3
SÍNDROME DE LA ARTERIA CARÓTIDA (HEMISFÉRICO),SÍNDROME DE LA ARTERIA CARÓTIDA (HEMISFÉRICO),sin_cambio,1.0,7,"2022,2023",2
CONTACTO TRAUMATICO CON ANIMALES MARINOS,CONTACTO TRAUMATICO CON ANIMALES MARINOS,sin_cambio,1.0,7,"2021,2022,2023,2024",4
"TUMOR MALIGNO DEL CUERPO DEL UTERO, PARTE NO ESPECIFICADA","TUMOR MALIGNO DEL CUERPO DEL ÚTERO, PARTE NO ESPECIFICADA",acento,0.99,7,2020,1
COMPLICACIÓN MECÁNICA DE CATÉTER URINARIO (FIJO),COMPLICACIÓN MECÁNICA DE CATÉTER URINARIO (FIJO),sin_cambio,1.0,7,"2022,2023,2024",3
EFECTO TÓXICO DEL CONTACTO CON ANIMAL VENENOSO NO ESPECIFICADO,EFECTO TÓXICO DEL CONTACTO CON ANIMAL VENENOSO NO ESPECIFICADO,sin_cambio,1.0,7,"2021,2022,2023",3
ANEURISMA DE ARTERIA CORONARIA,ANEURISMA DE ARTERIA CORONARIA,sin_cambio,1.0,7,"2020,2022,2023,2024",4
SECUELAS DE TRAUMATISMO DEL OJO Y DE LA ÓRBITA,SECUELAS DE TRAUMATISMO DEL OJO Y DE LA ÓRBITA,sin_cambio,1.0,7,"2021,2023,2024",3
HIPERTIROIDISMO NEONATAL TRANSITORIO,HIPERTIROIDISMO NEONATAL TRANSITORIO,sin_cambio,1.0,7,"2021,2023",2
PARTO MULTIPLE,PARTO MULTIPLE,sin_cambio,1.0,7,"2021,2024",2
NEUROSÍFILIS NO ESPECIFICADA,NEUROSÍFILIS NO ESPECIFICADA,sin_cambio,1.0,7,"2021,2022,2023,2024",4
"PARASITOSIS INTESTINAL, SIN OTRA ESPECIFICACION","PARASITOSIS INTESTINAL, SIN OTRA ESPECIFICACION",sin_cambio,1.0,7,"2021,2022,2023,2024",4
"OSTEOPOROSIS INDUCIDA POR DROGAS, SIN FRACTURA PATOLÓGICA","OSTEOPOROSIS INDUCIDA POR DROGAS, SIN FRACTURA PATOLÓGICA",sin_cambio,1.0,7,"2021,2023,2024",3
VOMITOS EXCESIVOS DEL EMBARAZO,VOMITOS EXCESIVOS DEL EMBARAZO,sin_cambio,1.0,7,"2021,2022,2023",3
OTROS CUIDADOS ESPECIFICADOS POSTERIORES A LA CIRUGÍA,OTROS CUIDADOS ESPECIFICADOS POSTERIORES A LA CIRUGÍA,sin_cambio,1.0,7,"2021,2023,2024",3
OTROS CUIDADOS POSTERIORES A LA ORTOPEDIA,OTROS CUIDADOS POSTERIORES A LA ORTOPEDIA,sin_cambio,1.0,7,"2021,2022,2023",3
CONSEJO Y ASESORAMIENTO GENERAL SOBRE LA ANTICONCE,CONSEJO Y ASESORAMIENTO GENERAL SOBRE LA ANTICONCEPCIÓN,truncado,0.9091,7,2020,1
"CONEXIËN ANOMALA DE LAS VENAS PULMONARES, SIN OTRA ESPECIFICACION","CONEXIËN ANOMALA DE LAS VENAS PULMONARES, SIN OTRA ESPECIFICACION",sin_cambio,1.0,7,2020,1
OTRAS DEMENCIA VASCULARES,OTRAS DEMENCIA VASCULARES,sin_cambio,1.0,7,"2021,2022,2023,2024",4
"TRASTORNOS DEL HÍGADO EN EL EMBARAZO, EL PARTO Y EL PUERPERIO","TRASTORNOS DEL HÍGADO EN EL EMBARAZO, EL PARTO Y EL PUERPERIO",sin_cambio,1.0,7,"2021,2022,2023,2024",4
TRASTORNOS DE OTROS NERVIOS CRANEALES,TRASTORNOS DE OTROS NERVIOS CRANEALES,sin_cambio,1.0,7,"2021,2022,2023,2024",4
"ENFERMEDAD PULMONAR DEL CORAZON, NO ESPECIFICADA","ENFERMEDAD PULMONAR DEL CORAZÓN, NO ESPECIFICADA",acento,0.99,7,2020,1
AGRESION CON OBJETO CORTANTE,AGRESION CON OBJETO CORTANTE,sin_cambio,1.0,7,"2022,2023,2024",3
CARDIOMIOPATIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,CARDIOMIOPATIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,sin_cambio,1.0,7,"2022,2023,2024",3
TUMORES MALIGNOS (PRIMARIOS) DE SITIOS MÚLTIPLES INDEPENDIENTES,TUMORES MALIGNOS (PRIMARIOS) DE SITIOS MÚLTIPLES INDEPENDIENTES,sin_cambio,1.0,7,"2022,2023",2
PERIOSTITIS EN OTRAS ENFERMEDADES INFECCIOSAS CLASIFICADAS EN OTRA PARTE,PERIOSTITIS EN OTRAS ENFERMEDADES INFECCIOSAS CLASIFICADAS EN OTRA PARTE,sin_cambio,1.0,7,"2020,2022,2023,2024",4
SECUELAS DE FRACTURA DEL FEMUR,SECUELAS DE FRACTURA DEL FÉMUR,acento,0.99,7,2020,1
ANEMIA EN OTRAS ENFERMEDADES CRÓNICAS CLASIFICADAS EN OTRA PARTE,ANEMIA EN OTRAS ENFERMEDADES CRÓNICAS CLASIFICADAS EN OTRA PARTE,sin_cambio,1.0,7,"2021,2022,2023",3
"ANOMALIA CROMOSOMICA, NO ESPECIFICADA","ANOMALÍA CROMOSÓMICA, NO ESPECIFICADA",acento,0.99,7,2020,1
"COMPRESION MEDULAR, NO ESPECIFICADA","COMPRESIÓN MEDULAR, NO ESPECIFICADA",acento,0.99,7,2020,1
DERMATOSIS ACANTOLÍTICA TRANSITORIA [GROVER],DERMATOSIS ACANTOLÍTICA TRANSITORIA [GROVER],sin_cambio,1.0,7,"2021,2024",2
TUMOR BENIGNO DEL TEJIDO MESOTELIAL DE OTROS SITIOS ESPECIFICADOS,TUMOR BENIGNO DEL TEJIDO MESOTELIAL DE OTROS SITIOS ESPECIFICADOS,sin_cambio,1.0,7,"2020,2021,2024",3
OTROS TRASTORNOS FUNCIONALES CONGENITOS DEL COLON,OTROS TRASTORNOS FUNCIONALES CONGÉNITOS DEL COLON,acento,0.99,7,2020,1
"ENFERMEDADES DEL MEDIASTINO, NO CLASIFICADOS EN OTRA PARTE","ENFERMEDADES DEL MEDIASTINO, NO CLASIFICADAS EN OTRA PARTE",typo,0.9828,7,2020,1
ESTENOSIS TRICÚSPIDE,ESTENOSIS TRICÚSPIDE,sin_cambio,1.0,7,"2021,2022,2024",3
"TUMOR MALIGNO DEL SISTEMA NERVIOSO CENTRAL, SIN OTRA ESPECIFICACION","TUMOR MALIGNO DEL SISTEMA NERVIOSO CENTRAL, SIN OTRA ESPECIFICACIÓN",acento,0.99,7,2020,1
TUMOR MALIGNO DEL PANCREAS ENDOCRINO,TUMOR MALIGNO DEL PÁNCREAS ENDOCRINO,acento,0.99,7,2020,1
DISTROFIA COROIDEA HEREDITARIA,DISTROFIA COROIDEA HEREDITARIA,sin_cambio,1.0,7,"2020,2021,2023",3
"HELMINTIASIS INTESTINAL, SIN OTRA ESPECIFICACION","HELMINTIASIS INTESTINAL, SIN OTRA ESPECIFICACIÓN",acento,0.99,7,2020,1
"COMPLICACIÓN MECÁNICA DE DISPOSITIVO PROTÉSICO, IMPLANTE E INJERTO GASTROINTESTINAL","COMPLICACIÓN MECÁNICA DE DISPOSITIVO PROTÉSICO, IMPLANTE E INJERTO GASTROINTESTINAL",sin_cambio,1.0,7,"2021,2022,2023,2024",4
"LINFOMA NO HODGKIN MIXTO, DE PEQUEÐAS CELULAS HENDIDAS Y DE GRANDES CELULAS, FOLICULAR","LINFOMA NO HODGKIN MIXTO, DE PEQUEÐAS CELULAS HENDIDAS Y DE GRANDES CELULAS, FOLICULAR",sin_cambio,1.0,7,2020,1
"MALABSORCION INTESTINAL, NO ESPECIFICADA","MALABSORCIÓN INTESTINAL, NO ESPECIFICADA",acento,0.99,7,2020,1
"ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDADES MULTIPLES CLASIFICADAS EN OTRA PARTE","ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDADES MÚLTIPLES CLASIFICADAS EN OTRA PARTE",acento,0.99,7,2020,1
OTROS TRASTORNOS ESPECIFICADOS DEL PARPADO,OTROS TRASTORNOS ESPECIFICADOS DEL PÁRPADO,acento,0.99,7,2020,1
"TRASTORNOS DEL METABOLISMO DE LAS GLUCOPROTEÍNAS, NO ESPECIFICADO","TRASTORNOS DEL METABOLISMO DE LAS GLUCOPROTEÍNAS, NO ESPECIFICADO",sin_cambio,1.0,7,"2021,2022,2023,2024",4
MACROGLOBULINEMIA DE WALDENSTROM,MACROGLOBULINEMIA DE WALDENSTRÖM,acento,0.99,7,2020,1
RETRASO DEL PARTO DESPUÉS DE LA RUPTURA ESPONTÁNEA O NO ESPECIFICADA DE LAS MEMBRANAS,RETRASO DEL PARTO DESPUÉS DE LA RUPTURA ESPONTÁNEA O NO ESPECIFICADA DE LAS MEMBRANAS,sin_cambio,1.0,7,"2021,2023,2024",3
TRAUMATISMO DE TENDONES Y MUSCULOS INTRINSECOS A NIVEL DEL PIE Y DEL TOBILLO,TRAUMATISMO DE TENDONES Y MÚSCULOS INTRÍNSECOS A NIVEL DEL PIE Y DEL TOBILLO,acento,0.99,7,2020,1
TRASTORNO HIPERCINETICO DE LA CONDUCTA,TRASTORNO HIPERCINÉTICO DE LA CONDUCTA,acento,0.99,7,2020,1
TRASTORNO ESPECIFICO DE LA PRONUNCIACION,TRASTORNO ESPECÍFICO DE LA PRONUNCIACIÓN,acento,0.99,7,2020,1
OTROS TRASTORNOS FOLICULARES,OTROS TRASTORNOS FOLICULARES,sin_cambio,1.0,7,"2021,2022,2024",3
HERIDA PENETRANTE DEL GLOBO OCULAR CON CUERPO EXTRAÐO,HERIDA PENETRANTE DEL GLOBO OCULAR CON CUERPO EXTRAÑO,typo,0.9811,7,2020,1
OSTEOCONDROSIS JUVENIL DEL METATARSO,OSTEOCONDROSIS JUVENIL DEL METATARSO,sin_cambio,1.0,7,"2020,2021,2022,2023",4
OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL HOMB,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL HOMBRO Y DEL BRAZO,truncado,0.7812,7,2020,1
CARCINOMA IN SITU DEL OJO,CARCINOMA IN SITU DEL OJO,sin_cambio,1.0,7,"2020,2021,2022,2023",4
CARCINOMA IN SITU DEL SISTEMA RESPIRATORIO Y DEL OIDO MEDIO,CARCINOMA IN SITU DEL SISTEMA RESPIRATORIO Y DEL OIDO MEDIO,sin_cambio,1.0,7,"2021,2024",2
SINDROME DE SECRECION INAPROPIADA DE HORMONA ANTIDIURETICA,SÍNDROME DE SECRECIÓN INAPROPIADA DE HORMONA ANITIDIURÉTICA,typo,0.9915,7,2020,1
SÍNDROME DE HORNER,SÍNDROME DE HORNER,sin_cambio,1.0,7,"2021,2022,2023,2024",4
"SOPLO CARDIACO, NO ESPECIFICADO","SOPLO CARDÍACO, NO ESPECIFICADO",acento,0.99,7,2020,1
FRACTURAS QUE AFECTAN MULTIPLES REGIONES DE AMBOS MIEMBROS SUPERIORES,FRACTURAS QUE AFECTAN MÚLTIPLES REGIONES DE AMBOS MIEMBROS SUPERIORES,acento,0.99,7,2020,1
SECUELAS DE HERIDA DE MIEMBRO SUPERIOR,SECUELAS DE HERIDA DE MIEMBRO SUPERIOR,sin_cambio,1.0,7,"2021,2022,2023,2024",4
DOLOR OCULAR,DOLOR OCULAR,sin_cambio,1.0,7,"2020,2022,2023,2024",4
FRACTURAS MULTIPLES DE COLUMNA CERVICAL,FRACTURAS MÚLTIPLES DE COLUMNA CERVICAL,acento,0.99,7,2020,1
NECRÓLISIS EPIDÉRMICA TÓXICA [LYELL],NECRÓLISIS EPIDÉRMICA TÓXICA [LYELL],sin_cambio,1.0,7,"2022,2023",2
MACROGLOSIA,MACROGLOSIA,sin_cambio,1.0,7,"2020,2021,2022,2023,2024",5
"MENSTRUACION EXCESIVA, FRECUENTE E IRREGULAR","MENSTRUACION EXCESIVA, FRECUENTE E IRREGULAR",sin_cambio,1.0,7,"2021,2022,2023",3
MENSTRUACIÓN EXCESIVA EN LA PUBERTAD,MENSTRUACIÓN EXCESIVA EN LA PUBERTAD,sin_cambio,1.0,7,"2021,2022,2023,2024",4
"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE","OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLÓGICA E HISTOLÓGICAMENTE",acento,0.99,7,2020,1
"OTRAS OSTEOPOROSIS, CON FRACTURA PATOLOGICA","OTRAS OSTEOPOROSIS, CON FRACTURA PATOLÓGICA",acento,0.99,7,2020,1
TUMOR BENIGNO DE OTRAS GLANDULAS ENDOCRINAS ESPECIFICADAS,TUMOR BENIGNO DE OTRAS GLÁNDULAS ENDOCRINAS ESPECIFICADAS,acento,0.99,7,2020,1
"TUMOR BENIGNO DE ORGANO GENITAL MASCULINO, SITIO NO ESPECIFICADO","TUMOR BENIGNO DE ÓRGANO GENITAL MASCULINO, SITIO NO ESPECIFICADO",acento,0.99,7,2020,1
"EXPOSICIÓN A IGNICIÓN DE MATERIAL ALTAMENTE INFLAMABLE, GRANJA","EXPOSICIÓN A IGNICIÓN DE MATERIAL ALTAMENTE INFLAMABLE, GRANJA",sin_cambio,1.0,7,"2021,2022,2023,2024",4
OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NIÑEZ Y EN LA ADOLESCENCIA,OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NIÑEZ Y EN LA ADOLESCENCIA,sin_cambio,1.0,7,"2021,2022,2024",3
"ABORTO NO ESPECIFICADO INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDÍA","ABORTO NO ESPECIFICADO INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDÍA",sin_cambio,1.0,7,"2021,2022,2023,2024",4
QUEMADURA DEL PARPADO Y AREA PERIOCULAR,QUEMADURA DEL PÁRPADO Y ÁREA PERIOCULAR,acento,0.99,7,2020,1
"APLASIA CRÓNICA ADQUIRIDA, EXCLUSIVA DE LA SERIE ROJA","APLASIA CRÓNICA ADQUIRIDA, EXCLUSIVA DE LA SERIE ROJA",sin_cambio,1.0,7,"2021,2023,2024",3
OTRAS FUSIONES DE LA COLUMNA VERTEBRAL,OTRAS FUSIONES DE LA COLUMNA VERTEBRAL,sin_cambio,1.0,7,"2020,2022,2023",3
ENCEFALOCELE OCCIPITAL,ENCEFALOCELE OCCIPITAL,sin_cambio,1.0,7,"2021,2022,2023",3
HEMORRAGIA POR OVULACIÓN,HEMORRAGIA POR OVULACIÓN,sin_cambio,1.0,7,"2021,2024",2
NEVO MELANOCITICO DEL CUERO CABELLUDO Y DEL CUELLO,NEVO MELANOCÍTICO DEL CUERO CABELLUDO Y DEL CUELLO,acento,0.99,7,2020,1
OTROS TRASTORNOS AFECTIVOS BIPOLARES,OTROS TRASTORNOS AFECTIVOS BIPOLARES,sin_cambio,1.0,7,"2023,2024",2
TRAQUEITIS AGUDA,TRAQUEÍTIS AGUDA,acento,0.99,7,2020,1
ACETONURIA,ACETONURIA,sin_cambio,1.0,7,"2021,2022,2024",3
"SEPSIS ESTREPTOCÓCICA, NO ESPECIFICADA","SEPSIS ESTREPTOCÓCICA, NO ESPECIFICADA",sin_cambio,1.0,7,"2021,2023,2024",3
"SÍFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDÍA","SÍFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDÍA",sin_cambio,1.0,7,"2021,2024",2
"TRASTORNO DE LA UNA, NO ESPECIFICADO","TRASTORNO DE LA UÑA, NO ESPECIFICADO",acento,0.99,7,2020,1
TRASTORNO DE PANICO [ANSIEDAD PAROXISTICA EPISODICA],TRASTORNO DE PÁNICO [ANSIEDAD PAROXÍSTICA EPISÓDICA],acento,0.99,7,2020,1
TRASTORNO DE SOMATIZACIÓN,TRASTORNO DE SOMATIZACIÓN,sin_cambio,1.0,7,2024,1
HEMOTORAX,HEMOTÓRAX,acento,0.99,7,2020,1
HEMOTORAX TRAUMATICO,HEMOTÓRAX TRAUMÁTICO,acento,0.99,7,2020,1
OTRAS COMPLICACIONES PRECOCES DE LOS TRAUMATISMOS,OTRAS COMPLICACIONES PRECOCES DE LOS TRAUMATISMOS,sin_cambio,1.0,7,"2020,2021,2022,2023,2024",5
HEMORRAGIA INTRAENCEFALICA EN TALLO CEREBRAL,HEMORRAGIA INTRAENCEFÁLICA EN TALLO CEREBRAL,acento,0.99,7,2020,1
"ABORTO NO ESPECIFICADO INCOMPLETO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS","ABORTO NO ESPECIFICADO INCOMPLETO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS",sin_cambio,1.0,7,"2021,2023,2024",3
AUSENCIA CONGÉNITA DE LA MAMA CON AUSENCIA DEL PEZÓN,AUSENCIA CONGÉNITA DE LA MAMA CON AUSENCIA DEL PEZÓN,sin_cambio,1.0,7,"2021,2022,2023",3
HEMATOCOLPOS,HEMATOCOLPOS,sin_cambio,1.0,7,"2020,2022,2023,2024",4
DERMATITIS VESICULAR HERPETICA,DERMATITIS VESICULAR HERPÉTICA,acento,0.99,7,2020,1
"SEGUIMIENTO POSTPARTO, DE RUTINA","SEGUIMIENTO POSTPARTO, DE RUTINA",sin_cambio,1.0,6,"2021,2023,2024",3
"KERNICTERUS, NO ESPECIFICADO","KERNICTERUS, NO ESPECIFICADO",sin_cambio,1.0,6,"2022,2023",2
HEPATITIS DEBIDA A VIRUS CITOMEGALICO,HEPATITIS DEBIDA A VIRUS CITOMEGÁLICO,acento,0.99,6,2020,1
SUPERVISIÓN DE EMBARAZO CON HISTORIA DE ABORTO,SUPERVISIÓN DE EMBARAZO CON HISTORIA DE ABORTO,sin_cambio,1.0,6,"2022,2023,2024",3
IRIDOCICLITIS CRÓNICA,IRIDOCICLITIS CRÓNICA,sin_cambio,1.0,6,"2021,2024",2
"CONDUCTOR DE VEHÍCULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISIÓN CON OTROS VEHÍCULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE NO DE TRÁNSITO","CONDUCTOR DE VEHÍCULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISIÓN CON OTROS VEHÍCULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE NO DE TRÁNSITO",sin_cambio,1.0,6,"2021,2022,2024",3
"LESIÓN BIOMECÁNICA, NO ESPECIFICADA","LESIÓN BIOMECÁNICA, NO ESPECIFICADA",sin_cambio,1.0,6,"2021,2022,2023,2024",4
GLAUCOMA CONGENITO,GLAUCOMA CONGÉNITO,acento,0.99,6,2020,1
SEPSIS DEL RECIÉN NACIDO DEBIDA A OTROS ESTREPTOCOCOS Y A LOS NO ESPECIFICADOS,SEPSIS DEL RECIÉN NACIDO DEBIDA A OTROS ESTREPTOCOCOS Y A LOS NO ESPECIFICADOS,sin_cambio,1.0,6,"2021,2022,2024",3
"ABORTO MEDICO: COMPLETO O NO ESPECIFICADO, SIN COMPLICACION","ABORTO MÉDICO COMPLETO O NO ESPECIFICADO, SIN COMPLICACIÓN",typo,0.9915,6,2020,1
AMPUTACIÓN TRAUMÁTICA DE LA MANO A NIVEL DE LA MUÑECA,AMPUTACIÓN TRAUMÁTICA DE LA MANO A NIVEL DE LA MUÑECA,sin_cambio,1.0,6,"2021,2022,2023",3
"AFECCION PLEURAL, NO ESPECIFICADA","AFECCIÓN PLEURAL, NO ESPECIFICADA",acento,0.99,6,2020,1
